stop_id,ZDEr_ID_REF_A
StopPoint:10:1390,3769
StopPoint:10:1391,8476
StopPoint:10:1392,3871
StopPoint:10:1393,8501
StopPoint:10:1394,3747
StopPoint:10:1395,427456
StopPoint:10:1396,427459
StopPoint:10:1397,3755
StopPoint:10:1398,427460
StopPoint:10:140,3792
StopPoint:10:143,8482
StopPoint:10:144,8555
StopPoint:10:159,10386
StopPoint:10:160,10387
StopPoint:10:161,3793
StopPoint:10:162,3794
StopPoint:10:164,8486
StopPoint:10:167,3796
StopPoint:10:168,3797
StopPoint:10:169,3798
StopPoint:10:170,3799
StopPoint:10:171,3800
StopPoint:10:172,3801
StopPoint:10:173,3802
StopPoint:10:174,10388
StopPoint:10:176,3803
StopPoint:10:177,3804
StopPoint:10:178,3805
StopPoint:10:179,12635
StopPoint:10:18,3721
StopPoint:10:182,3807
StopPoint:10:183,3808
StopPoint:10:184,3809
StopPoint:10:186,3810
StopPoint:10:187,8487
StopPoint:10:188,3811
StopPoint:10:189,3812
StopPoint:10:19,3722
StopPoint:10:190,3813
StopPoint:10:191,3814
StopPoint:10:192,3815
StopPoint:10:193,3816
StopPoint:10:194,3817
StopPoint:10:195,3818
StopPoint:10:197,8488
StopPoint:10:198,3819
StopPoint:10:199,3820
StopPoint:10:20,3723
StopPoint:10:200,10389
StopPoint:10:201,3821
StopPoint:10:202,3822
StopPoint:10:205,3823
StopPoint:10:206,3824
StopPoint:10:207,3825
StopPoint:10:208,8489
StopPoint:10:209,8490
StopPoint:10:21,3724
StopPoint:10:210,3826
StopPoint:10:211,3827
StopPoint:10:212,3828
StopPoint:10:215,10390
StopPoint:10:216,10391
StopPoint:10:22,8469
StopPoint:10:220,21728
StopPoint:10:223,3829
StopPoint:10:224,21729
StopPoint:10:226,3830
StopPoint:10:228,3832
StopPoint:10:229,3833
StopPoint:10:23,3725
StopPoint:10:230,3834
StopPoint:10:231,425893
StopPoint:10:232,10392
StopPoint:10:233,21730
StopPoint:10:234,21731
StopPoint:10:235,3836
StopPoint:10:236,3837
StopPoint:10:237,3838
StopPoint:10:238,3839
StopPoint:10:239,10437
StopPoint:10:24,3726
StopPoint:10:240,3093
StopPoint:10:241,3092
StopPoint:10:242,3841
StopPoint:10:243,3842
StopPoint:10:245,8491
StopPoint:10:246,3843
StopPoint:10:247,3844
StopPoint:10:248,3845
StopPoint:10:249,3846
StopPoint:10:25,3727
StopPoint:10:250,8492
StopPoint:10:253,3847
StopPoint:10:254,3848
StopPoint:10:257,3851
StopPoint:10:259,3852
StopPoint:10:26,3728
StopPoint:10:264,8494
StopPoint:10:265,8495
StopPoint:10:266,3854
StopPoint:10:267,3855
StopPoint:10:268,3856
StopPoint:10:27,3729
StopPoint:10:271,3857
StopPoint:10:273,8496
StopPoint:10:274,10393
StopPoint:10:275,8497
StopPoint:10:278,3858
StopPoint:10:28,3730
StopPoint:10:280,9415
StopPoint:10:281,3859
StopPoint:10:282,8498
StopPoint:10:283,3860
StopPoint:10:284,3861
StopPoint:10:288,3862
StopPoint:10:289,8499
StopPoint:10:29,8470
StopPoint:10:290,3863
StopPoint:10:292,18198
StopPoint:10:294,3864
StopPoint:10:296,3865
StopPoint:10:297,3866
StopPoint:10:298,3867
StopPoint:10:299,3868
StopPoint:10:3,10379
StopPoint:10:30,8471
StopPoint:10:300,3869
StopPoint:10:301,3870
StopPoint:10:302,8500
StopPoint:10:305,3872
StopPoint:10:306,3873
StopPoint:10:307,3874
StopPoint:10:308,8502
StopPoint:10:312,8503
StopPoint:10:314,3875
StopPoint:10:315,12945
StopPoint:10:316,3098
StopPoint:10:317,10301
StopPoint:10:318,3877
StopPoint:10:319,3878
StopPoint:10:320,3879
StopPoint:10:321,3880
StopPoint:10:322,3881
StopPoint:10:323,3882
StopPoint:10:324,3883
StopPoint:10:325,3884
StopPoint:10:328,3885
StopPoint:10:33,3733
StopPoint:10:331,3886
StopPoint:10:332,3887
StopPoint:10:333,422528
StopPoint:10:334,3889
StopPoint:10:335,3890
StopPoint:10:336,8504
StopPoint:10:34,3734
StopPoint:10:341,3891
StopPoint:10:342,8505
StopPoint:10:343,3892
StopPoint:10:344,3893
StopPoint:10:345,3894
StopPoint:10:346,3895
StopPoint:10:348,3896
StopPoint:10:349,3897
StopPoint:10:35,3735
StopPoint:10:350,3898
StopPoint:10:351,8506
StopPoint:10:352,3899
StopPoint:10:355,3900
StopPoint:10:356,3901
StopPoint:10:357,3902
StopPoint:10:358,3903
StopPoint:10:359,3904
StopPoint:10:36,3736
StopPoint:10:360,8507
StopPoint:10:361,8508
StopPoint:10:362,3905
StopPoint:10:363,21732
StopPoint:10:364,3906
StopPoint:10:365,8509
StopPoint:10:366,3907
StopPoint:10:367,3908
StopPoint:10:368,3909
StopPoint:10:369,3910
StopPoint:10:371,3911
StopPoint:10:372,3912
StopPoint:10:373,3913
StopPoint:10:374,3914
StopPoint:10:375,3915
StopPoint:10:376,3916
StopPoint:10:377,3917
StopPoint:10:379,3918
StopPoint:10:380,3919
StopPoint:10:381,3920
StopPoint:10:382,3921
StopPoint:10:385,3924
StopPoint:10:386,3925
StopPoint:10:387,3926
StopPoint:10:388,3927
StopPoint:10:39,3737
StopPoint:10:391,3928
StopPoint:10:392,3929
StopPoint:10:393,3930
StopPoint:10:394,8510
StopPoint:10:395,3931
StopPoint:10:396,3932
StopPoint:10:397,3933
StopPoint:10:398,3934
StopPoint:10:399,3935
StopPoint:10:40,3738
StopPoint:10:400,3936
StopPoint:10:401,3937
StopPoint:10:402,3938
StopPoint:10:403,3939
StopPoint:10:404,3940
StopPoint:10:405,3941
StopPoint:10:406,3942
StopPoint:10:407,3943
StopPoint:10:408,3944
StopPoint:10:409,3945
StopPoint:10:41,8472
StopPoint:10:410,3946
StopPoint:10:411,3947
StopPoint:10:412,3948
StopPoint:10:416,3949
StopPoint:10:417,8511
StopPoint:10:42,8473
StopPoint:10:422,8512
StopPoint:10:423,8513
StopPoint:10:426,3951
StopPoint:10:427,8515
StopPoint:10:428,3952
StopPoint:10:429,3953
StopPoint:10:43,3739
StopPoint:10:430,21733
