@oname,@id,@lat,@lon,name,ref:FR:STIF
node,296467491,48.7665086,1.9050400,Les Bruyères,21117
node,296467504,48.7651007,1.9169103,Le Clos Breton,20690
node,296467510,48.7658283,1.9177233,Grand'Mare,20689
node,296467512,48.7657198,1.9178899,Grand'Mare,20692
node,296925112,48.7675266,1.9260411,Îles Glénans,20687
node,296925114,48.7669944,1.9265866,Îles Glénans,4358
node,296925125,48.7604223,1.9440421,Centre Commercial,20806
node,296925126,48.7607321,1.9447512,Centre Commercial,20804
node,296925139,48.7560091,1.9428272,Gare La Verrière,424183 ; 4375
node,297142242,48.7612926,1.9460311,Centre Commercial,20724
node,297142246,48.7618186,1.9457617,Centre Commercial,4374
node,299606934,48.7985940,2.4859103,Théâtre de Saint-Maur,22669
node,300867961,48.7963514,2.4492350,Créteil — L'Échat (Hôpital Henri Mondor),22211
node,300869611,48.7899066,2.4504803,Créteil Université,22212
node,300869641,48.7797556,2.4594504,Créteil — Préfecture (Hôtel de Ville),22213
node,300870184,48.8033311,2.4456085,Maisons-Alfort — Les Juilliottes,22216
node,300870186,48.8090371,2.4347211,Maisons-Alfort — Stade,22215
node,300876896,48.8150196,2.4217316,École Vétérinaire de Maisons-Alfort,22214
node,300877457,48.8215612,2.4137829,Charenton-Écoles,22210
node,304798765,49.0279699,1.9762456,Rangée,9025
node,304815760,49.0449129,2.0106396,L'Orangerie,8718
node,307698922,49.0279452,1.9763678,Rangée,9042
node,307703609,49.0268485,1.9789395,Grande Pièce,9043
node,307703865,49.0293587,1.9782946,La Taillette,9044
node,307710366,49.0436602,2.0285443,Rond-Point du Cèdre,9604
node,307714084,49.0332638,2.0204618,La Bussie,8660
node,307714190,49.0328514,2.0201795,La Bussie,8721
node,307714403,49.0300678,2.0226605,La Croix-Lieu,5504
node,307714867,49.0304979,2.0229178,La Croix-Lieu,21760
node,307714914,49.0305294,2.0218427,La Croix-Lieu,8722
node,307715070,49.0363481,2.0170795,Boris Vian,8928
node,307715264,49.0355992,2.0166979,Boris Vian,8922
node,307715313,49.0354958,2.0177451,Boris Vian,8720
node,307715452,49.0408065,2.0149885,Rond-Point du Golf,8662
node,307715696,49.0395614,2.0158365,Rond-Point du Golf,8719
node,307715852,49.0444277,2.0102759,L'Orangerie,8663
node,307750129,48.8254053,1.9641914,Ida Nudel,14109
node,307750130,48.8258037,1.9646746,Ida Nudel,5803
node,307783465,49.0237002,2.0001456,Le Montrouge,9032
node,307783596,49.0260671,2.0058113,Grande Rue,5515
node,310047482,48.8375549,2.2958212,Convention - Vaugirard,23617
node,310181352,48.3169739,2.1034430,Gare de Méréville,11795
node,310188783,48.3186463,2.0873439,Hôtel de Ville de Méréville,11831
node,315775392,48.8277556,2.3350602,Alésia - René Coty,27438
node,317275115,48.8747438,2.2178290,Mont Valérien,8023
node,317275220,48.8750326,2.2176470,Mont Valérien,8022
node,319279355,48.8040891,2.4714082,Rue des Remises,27586
node,322689223,48.8342302,2.3084216,Labrouste - Vouillé,36914
node,322691408,48.8337381,2.3083597,Labrouste,24007
node,324423388,48.8577162,2.2801463,Jean Bologne,25097
node,329130601,48.8692186,2.3380768,Richelieu - 4 Septembre,27320
node,331271215,48.7946784,2.3626479,Groupe Hospitalier Paul Brousse,29836
node,331453352,48.8488965,2.3721895,Lyon - Ledru-Rollin,39722
node,332718408,48.8400074,2.3043626,Cambronne - Vaugirard,28029
node,338283845,48.7837446,1.9591131,Église du Village,9535
node,339863874,48.4850555,2.3510094,Gare de La Ferté Alais,11807
node,345242675,49.0383815,2.4674704,École Gabriel Péri,38514;37990
node,346909498,48.7891995,2.0490917,Les Quadrants,21023
node,353096003,48.7844379,2.1133369,Soult,4181
node,353096007,48.7842382,2.1137608,Soult,4284
node,354969611,48.8723107,2.3297051,Auber,412806
node,360015930,48.7887513,2.1174411,General Éblé,4307
node,360015932,48.7887962,2.1176374,General Éblé,4308
node,360389277,48.8421476,2.3380942,Val de Grâce,22982
node,360389290,48.8371927,2.3352257,Hôpital Saint-Vincent de Paul,39769
node,360389291,48.8436151,2.3388947,Auguste Comte,22983
node,370171597,49.1608500,1.8025000,Blamécourt,416820
node,370631944,49.0302002,2.4600894,Centre de Secours,38764
node,370833762,48.8872350,2.1715571,Rueil-Malmaison,412796
node,372723102,49.0214605,2.4658059,Carrefour de l'Europe,38574
node,372723106,49.0216958,2.4653714,Carrefour de l'Europe,38478
node,387899945,48.8064618,2.4716813,Saint-Maur Créteil,425028
node,391590807,48.7648505,2.4054844,Rouget de Lisle,22741
node,392653539,48.7603855,2.4076342,Rue Yves Léger,30223
node,392654785,48.7667136,2.4241466,Stade Jean Bouin,30210
node,392654786,48.7720371,2.4211254,Collège Jules Valles,30207
node,392683360,48.7678389,2.4186796,Hugo-Mirabeau,23543
node,395224078,48.8334730,2.3334564,Denfert Rochereau,37832
node,409474312,48.7646995,2.1610712,Gare de Jouy Sud,20381
node,412847217,48.7687848,2.4087611,8 Mai 1945,415252
node,413428632,48.7670325,2.4042914,Auguste Franchot,30212
node,413428636,48.7678587,2.4061485,Émile Zola,30221
node,415306760,48.7674487,2.4103716,Clemenceau,30206
node,416309493,48.8183997,2.1500915,Pershing,4196
node,416309989,48.8179871,2.1504348,Pershing,4306
node,422762754,48.7726856,2.4022815,Cimetière,30201
node,422762756,48.7710457,2.4039616,Conservatoire,30214
node,429387605,48.8302234,2.3559211,Centre Commercial Italie 2,2265
node,437016462,48.7630822,2.4065791,Mairie de Choisy-le-Roi,30217
node,438054332,48.8317798,2.3548457,Place d'Italie - Mairie du XIIIe,36944
node,441140635,48.8238993,2.1175218,Allées du Roy,4091
node,441140682,48.8270072,2.1193671,Les Comtesses,4336
node,441168023,49.0472263,2.0100841,Cergy-le-Haut,8940
node,441554552,48.8153542,1.8773683,Villiers-Neauphle-Pontchartrain,41253
node,441595818,48.8276307,2.3705268,Patay – Tolbiac,26676
node,441595820,48.8278230,2.3717668,Patay–Tolbiac,23185
node,441597479,48.8649591,2.2058018,Place de la Paix,28531
node,443481015,48.8518092,2.2901250,Docteur Finlay,40078
node,445527802,48.8417779,2.3558325,Buffon - La Mosquée,22323
node,445621501,48.8408784,2.3559403,Buffon - La Mosquée,28009
node,446881844,48.8141053,2.2875584,Rond-Roint Henri Barbusse,35180
node,446881846,48.8138429,2.2870481,Rond-Point Henri Barbusse,35178
node,447882066,48.8143601,2.3203701,Verdier,35153
node,447882071,48.8113589,2.3184699,Boileau,35154
node,447882073,48.8094934,2.3169315,Cimetière Parisien,35148
node,447882076,48.8063870,2.3138346,Jean-Marin Naudin,413071
node,447882079,48.8065251,2.3142664,Jean-Marin Naudin,413072
node,447882081,48.8103208,2.3169265,Cimetière Parisien,28760
node,447882084,48.8123813,2.3159602,Boileau,20499
node,447882086,48.8158251,2.3179842,Verdier-République,42076
node,447887509,48.8022776,2.3111311,Pasteur,35146
node,447887510,48.8017624,2.3104115,Pasteur,28756
node,447887513,48.8000024,2.3078733,Rue de l'Égalité,40825
node,447887517,48.8005136,2.3089494,Rue de l'Égalité,35147
node,447887522,48.7987691,2.3050905,Hôtel de Ville de Bagneux,35150
node,447887528,48.7985238,2.3041820,Hôtel de Ville de Bagneux,28758
node,447887531,48.7973800,2.3004567,Rue Froide,40081
node,447887532,48.7952395,2.3001512,Dampierre,40089
node,447887545,48.7956162,2.3015402,Dampierre,35149
node,447891061,48.7930468,2.2959006,Sentier des Lilas,28761
node,447891063,48.7932284,2.2966699,Sentier des Lilas,20498
node,447891067,48.7898711,2.2920279,Château Sainte-Barbe,26829
node,447891070,48.7906766,2.2921490,Château Sainte-Barbe,35151
node,447894692,48.7877813,2.2935272,Fontenay-aux-Roses RER,26830
node,447894693,48.7881802,2.2933285,Fontenay-aux-Roses RER,35152
node,447894695,48.7850860,2.2933697,Gambetta,27896
node,447894697,48.7847106,2.2935036,Gambetta,35810
node,447900832,48.7814995,2.2932818,Rue du Lycée,20500
node,447900834,48.7818777,2.2935825,Rue du Lycée,20501
node,447900836,48.7791454,2.2918339,Fontenay-Houdan,413070
node,447900838,48.7790145,2.2910233,Fontenay-Houdan,22333
node,447900840,48.7789119,2.2882496,Mairie de Sceaux,35811
node,447900843,48.7787532,2.2879229,Mairie de Sceaux,26809
node,447902846,48.7789646,2.2840266,Cimetière de Sceaux,26810
node,447902857,48.7790748,2.2834537,Cimetière de Sceaux,26805
node,450721133,48.8376901,2.2820340,Vasco de Gama - Lourmel,28677
node,450721353,48.8391393,2.2823450,Lourmel - Félix Faure,28678
node,450721733,48.8386728,2.2786956,Saint-Charles - Balard,23465
node,450721743,48.8364152,2.2781531,Balard,25452
node,452166994,48.7795836,2.2814472,Robinson RER,40386
node,470567935,48.8345348,2.3055831,Brancion - Vouillé,24003
node,471047192,48.8533525,2.2619231,Raffet,29454
node,471537554,48.8921862,2.2371757,La Défense - Grande Arche,40951
node,472985885,48.8159011,2.3773455,Pierre et Marie Curie,22397
node,472985886,48.8109896,2.3839963,Mairie d'Ivry,22396
node,474607350,48.8781152,2.7503276,Fontaine au Roi,15627
node,474671239,48.8751671,2.7456674,Montévrain Mairie,15407
node,474671240,48.8758338,2.7502518,Sophora,15368;15369
node,476507829,48.8370719,2.2967038,Convention - Vaugirard,24010
node,476886896,48.8428790,2.2982280,Péclet,25760
node,480690096,48.8266663,2.3642727,Tolbiac - Baudricourt,29814
node,480690097,48.8268069,2.3643956,Tolbiac - Baudricourt,26780
node,486585992,48.8264613,2.3412468,Glacière - Tolbiac,23998
node,486586045,48.8264236,2.3423158,Glacière - Tolbiac,29815
node,497023059,48.6688057,2.3636531,Les Sablons,3579
node,504477783,49.0255521,2.4632461,Sécurité Sociale,419475;38763
node,504477786,49.0256534,2.4628593,Sécurité Sociale,38763
node,505370085,49.0525493,2.1153705,Epluches,8843
node,507278132,49.0450252,2.1075768,Mairie,8645
node,507278145,49.0384178,2.1175320,Lycée Edmond Rostand,8747
node,507875817,48.8196069,2.3594300,Porte d'Italie,37120
node,508695987,49.0474130,2.0998097,Hôtel Dieu,29578;8631
node,508696559,49.0494898,2.0938270,Place Notre-Dame,9009
node,508696567,49.0496941,2.0894380,Les Lavandières,9010
node,510603960,49.0542334,2.0146582,Jules Verne,9061
node,519909311,48.7528776,2.3989017,Stade Mimoun,40423
node,527328784,49.0506892,2.0407899,Centaure-Martelet,8605
node,527360194,49.0465516,2.0411707,Martelet,9588
node,527360298,49.0459774,2.0395725,Martelet,9602
