stop_area_id,lat,lon,name,osm:STIF:zone,osm:addr:city,osm:addr:postcode,osm:addr:street,osm:alt_name,osm:alt_ref:FR:uic8,osm:alt_uic_ref,osm:amenity,osm:bus,osm:description,osm:line:SNCF,osm:metro,osm:name,osm:name:CIF,osm:name:RATP,osm:name:RER,osm:name:TZen1,osm:name:Tice,osm:name:de,osm:name:es,osm:name:fr,osm:name:it,osm:name:pt,osm:name:ru,osm:network,osm:official_name,osm:old_name,osm:old_name:1889-~1900,osm:old_name:2006-12-15-~2010,osm:old_name:~1900-2006-12-15,osm:old_name:~2010-2012,osm:opening_hours,osm:operator,osm:platforms,osm:public_transport,osm:public_transport:version,osm:rail,osm:railway,osm:ref,osm:ref:FR:RATP,osm:ref:FR:STIF,osm:ref:FR:uic8,osm:ref:structurae,osm:short_name,osm:site,osm:source,osm:source:name,osm:station,osm:subway,osm:train,osm:tram,osm:tramway,osm:type,osm:type:RATP,osm:uic_name,osm:uic_ref,osm:wheelchair,osm:wikidata,osm:wikipedia
StopArea:Relation:969741,48.8654629,2.3555395999999997,Arts et Métiers (3),,,,,,,,,,,,,Arts et Métiers (3),,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:969897,48.8654489,2.374578,Parmentier,,,,,,,,,,,,,Parmentier,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:969898,48.8641526,2.3808719,Rue Saint-Maur,,,,,,,,,,,,,Rue Saint-Maur,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1043361,48.860583299999995,2.3261037,Assemblée Nationale,,,,,,,,,,,,,Assemblée Nationale,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1047242,48.8640323,2.3498703,Étienne Marcel,,,,,,,,,,,,,Étienne Marcel,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1079031,48.8728692,2.3299936,Auber,,,,,,,,,,,,,Auber,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1079032,48.870908,2.3321948999999997,Opéra (8),,,,,,,,,,,,,Opéra (8),,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1079042,48.8736792,2.3273189,Havre - Caumartin (9),,,,,,,,,,,,,Havre - Caumartin (9),,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1203149,48.8406473,2.3519334,Censier Daubenton,,,,,,,,,,,,,Censier Daubenton,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1266299,48.8689113,2.3408748,Bourse,,,,,,,,,,,,,Bourse,,,,,,,,,,,,,,,,,,,,,,stop_area,,,station,,,,,,,subway_station,,,underground,,,,,public_transport,,,,,,
StopArea:Relation:1299022,48.8699553,2.3710845,Goncourt,,,,,,,,,,,,,Goncourt,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1306654,48.853484099999996,2.4112334,Porte de Montreuil,,,,,,,,,,,,,Porte de Montreuil,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1321419,48.8518166,2.4013757,Buzenval,,,,,,,,,,,,,Buzenval,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1321420,48.852699199999996,2.4061094,Maraîchers,,,,,,,,,,,,,Maraîchers,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1578593,48.844631,2.4372157999999997,Château de Vincennes,,,,,,,,,,,,,Château de Vincennes,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1610760,48.839394399999996,2.5729818,La Butte Verte,,,,,,,,,,,,,La Butte Verte,,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,,320a,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1610761,48.833222199999994,2.579021,Rue du Ballon,,,,,,,,,,,,,Rue du Ballon,,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,,320b,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1610762,48.8370581,2.5727781999999997,Le Closeau,,,,,,,,,,,,,Le Closeau,,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,,320b,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1610763,48.8372525,2.5762617999999997,La Butte aux Cailles,,,,,,,,,,,,,La Butte aux Cailles,,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,,320a,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1610764,48.8370526,2.5725883,Le Closeau,,,,,,,,,,,,,Le Closeau,,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1610765,48.8371795,2.5766033999999998,La Butte aux Cailles,,,,,,,,,,,,,La Butte aux Cailles,,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,,320b,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1610766,48.833321999999995,2.578429,Rue du Ballon,,,,,,,,,,,,,Rue du Ballon,,,,,,,,,,,,,,,,,,,,RATP,,stop_area,,,,320a,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1622515,48.858425399999994,2.3792804999999997,Voltaire,,,,,,,,,,,,,Voltaire,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1622516,48.8640529,2.3694165,Oberkampf,,,,,,,,,,,,,Oberkampf,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1622517,48.8545716,2.3853125,Charonne,,,,,,,,,,,,,Charonne,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1622518,48.8611881,2.374764,Saint-Ambroise,,,,,,,,,,,,,Saint-Ambroise,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1622519,48.8573544,2.3681897999999997,Chemin Vert,,,,,,,,,,,,,Chemin Vert,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1622520,48.860282,2.3721739,Richard Lenoir,,,,,,,,,,,,,Richard Lenoir,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1622521,48.856626399999996,2.3705145,Bréguet-Sabin,,,,,,,,,,,,,Bréguet-Sabin,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687239,48.3112986,2.000401,Place du Général Leclerc,,,,,,,,community_centre,,,,,Place du Général Leclerc,,,,,,,,,,,,Transilien;Transdev CEAT,,,,,,,,Transilien;Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687435,48.4323822,2.1753213,Chasseurs,,,,,,,,,,,,,Chasseurs,,,,,,,,,,,,,,,,,,,,Ormont,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687436,48.4621973,2.32135,D'Huison-Longueville Centre,,,,,,,,,,,,,D'Huison-Longueville Centre,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687437,48.3157575,1.9973307999999999,Dommerville Crédit Agricole,,,,,,,,,,,,,Dommerville Crédit Agricole,,,,,,,,,,,,Transilien;Transdev CEAT,,,,,,,,Transilien;Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687438,48.481856099999995,2.3480873,Hôtel de Ville,,,,,,,,,,,,,Hôtel de Ville,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687439,48.479632699999996,2.3341048,La Ferme,,,,,,,,,,,,,La Ferme,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687441,48.405090699999995,2.1408578,Le Mesnil,,,,,,,,,,,,,Le Mesnil,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687442,48.4694928,2.2821827,Mairie de Boissy-le-Cutté,,,,,,,,,,,,,Mairie de Boissy-le-Cutté,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687443,48.477728,2.331537,Maison de Retraite,,,,,,,,,,,,,Maison de Retraite,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687444,48.346487599999996,2.0444061,Monnerville Centre,,,,,,,,,,,,,Monnerville Centre,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687445,48.3479593,2.0312945,Monnerville Gare SNCF,,,,,,,,,,,,,Monnerville Gare SNCF,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687447,48.485810099999995,2.3447291999999997,Pont de Villiers,,,,,,,,,,,,,Pont de Villiers,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687448,48.3493809,1.9915129999999999,Pussay Place Carouge,,,,,,,,,,,,,Pussay Place Carouge,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687449,48.3481922,1.9967572999999998,Pussay Route de Monnerville,,,,,,,,,,,,,Pussay Route de Monnerville,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687450,48.430045199999995,2.1729100999999997,Sablon,,,,,,,,,,,,,Sablon,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687451,48.3600931,2.1255603,Saclas Poste,,,,,,,,,,,,,Saclas Poste,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687452,48.4331999,2.1803174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687453,48.433225,2.1669966,Juineteau,,,,,,,,,,,,,Juineteau,,,,,,,,,,,,,,,,,,,,Ormont,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687454,48.4330417,2.1789026,Hameau de Bretagne,,,,,,,,,,,,,Hameau de Bretagne,,,,,,,,,,,,,,,,,,,,Ormont,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687455,48.4750144,2.3280928,Église Place de Selves,,,,,,,,,,,,,Église Place de Selves,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687456,48.4303592,2.1484050999999997,Étampes Haut Pavé,,,,,,,,,,,,,Étampes Haut Pavé,,,,,,,,,,,,Transdev CEAT,,,,,,,,Transdev CEAT,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687457,48.431418,2.1710938,Étampes Sybilles,,,,,,,,,,,,,Étampes Sybilles,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1687458,48.433394,2.1556264,Théâtre,,,,,,,,,,,,,Théâtre,,,,,,,,,,,,,,,,,,,,Ulys,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1733977,48.636342199999994,2.4077609,Orangis - Bois de l'Épine,,,,,,,,,,,,,Orangis - Bois de l'Épine,,,,,T,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1749961,48.829137499999995,2.229743,Pont de Sèvres,,,,,,,,,yes,,,yes,Pont de Sèvres,,,,,,,,,,,,RATP,,,,,,,,RATP,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1782049,48.8797968,2.4165235,Mairie Des Lilas,,,,,,,,,,,,,Mairie Des Lilas,,,,,,,,,,,,RATP,,,,,,,,RATP,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1811047,48.891483699999995,2.3497296,Marcadet-Poissonniers (4),,,,,,,,,,,,,Marcadet-Poissonniers (4),,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1837356,48.872061699999996,2.3004148,George V,,,,,,,,,,,,,George V,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1837357,48.8690339,2.3099266,Franklin D. Roosevelt (1),,,,,,,,,,,,,Franklin D. Roosevelt (1),,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1837508,48.897140799999995,2.2803972999999997,Pont de Levallois,,,,,,,,,,,,,Pont de Levallois,,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
StopArea:Relation:1837752,48.891483699999995,2.3497296,Marcadet-Poissonniers (9),,,,,,,,,,,,,Marcadet-Poissonniers (9),,,,,,,,,,,,,,,,,,,,,,stop_area,,,subway,,,,,,,,,,,,,,,public_transport,,,,,,
